q00000001_00: Resolutions and Omens                                                    | 覚悟と兆し
q90000200_00: The Crucible of Demons                                                   | 魔物のるつぼ
q90000201_00: The Crucible of Demons                                                   | 魔物のるつぼ
q90000202_00: The Crucible of Demons                                                   | 魔物のるつぼ
q90000203_00: The Crucible of Demons                                                   | 魔物のるつぼ
q90000204_00: The Crucible of Demons                                                   | 魔物のるつぼ
q90000205_00: The Crucible of Demons: Heat Wave                                        | 魔物のるつぼ　：熱波
q90000206_00: The Crucible of Demons: Blaze                                            | 魔物のるつぼ　：火炎
q90000207_00: The Crucible of Demons: Inferno                                          | 魔物のるつぼ　：業火
q90000400_00: Ancient Warrior                                                          | 太古の強者
q90000401_00: Ancient Warrior                                                          | 太古の強者
q90000402_00: Ancient Warrior                                                          | 太古の強者
q90000403_00: Ancient Warrior                                                          | 太古の強者
q90000404_00: Ancient Warrior                                                          | 太古の強者
q90000405_00: Ancient Warrior                                                          | 太古の強者
q90000406_00: Ancient Warrior                                                          | 太古の強者
q90000410_00: The Dazzling Gold                                                        | 眩き黄金
q90000411_00: The Dazzling Gold                                                        | 眩き黄金
